Nb,Input,Output
999900,1270,83
999800,2376,443
999700,3529,811
999600,4655,1189
999500,5716,1538
999400,6797,1921
999300,7874,2294
999200,9023,2672
999100,10057,3004
999000,11114,3387
998900,12190,3762
998800,13210,4122
998700,14260,4492
998600,15290,4865
998500,16383,5244
998400,17486,5612
998300,18549,5981
998200,19654,6349
998100,20709,6697
998000,21810,7077
997900,22878,7444
997800,24018,7823
997700,25100,8183
997600,26229,8578
997500,27320,8951
997400,28384,9329
997300,29468,9714
997200,30523,10071
997100,31626,10459
997000,32663,10803
996900,33730,11195
996800,34812,11577
996700,35894,11945
996600,36986,12328
996500,38073,12693
996400,39111,13065
996300,40197,13452
996200,41359,13838
996100,42468,14201
996000,43622,14593
995900,44660,14928
995800,45685,15299
995700,46796,15684
995600,47883,16043
995500,48968,16413
995400,50144,16808
995300,51220,17168
995200,52302,17535
995100,53409,17913
995000,54472,18277
994900,55580,18677
994800,56658,19032
994700,57797,19433
994600,58939,19805
994500,59973,20159
994400,61099,20554
994300,62210,20913
994200,63292,21301
994100,64365,21682
994000,65444,22054
993900,66482,22420
993800,67566,22820
993700,68653,23183
993600,69779,23560
993500,70870,23952
993400,71913,24306
993300,73030,24697
993200,74142,25076
993100,75280,25464
993000,76346,25820
992900,77395,26191
992800,78470,26560
992700,79587,26959
992600,80676,27313
992500,81758,27693
992400,82838,28056
992300,83909,28435
992200,85014,28827
992100,86095,29200
992000,87164,29589
991900,88276,29953
991800,89384,30360
991700,90487,30722
991600,91569,31102
991500,92644,31486
991400,93798,31877
991300,94902,32247
991200,95941,32590
991100,97001,32991
991000,98049,33350
990900,99123,33716
990800,100279,34115
990700,101324,34458
990600,102439,34845
990500,103524,35235
990400,104629,35609
990300,105739,35974
990200,106856,36359
990100,107921,36729
990000,108996,37113
989900,110081,37492
989800,111193,37845
989700,112334,38242
989600,113433,38609
989500,114549,38986
989400,115678,39369
989300,116731,39718
989200,117834,40093
989100,118934,40476
989000,120076,40846
988900,121092,41193
988800,122228,41601
988700,123341,41966
988600,124429,42325
988500,125553,42709
988400,126637,43084
988300,127714,43463
988200,128798,43840
988100,129916,44231
988000,131013,44601
987900,132109,45000
987800,133196,45378
987700,134265,45748
987600,135372,46132
987500,136465,46488
987400,137595,46881
987300,138599,47218
987200,139680,47609
987100,140776,47990
987000,141889,48362
986900,142971,48725
986800,144027,49091
986700,145144,49475
986600,146279,49860
986500,147394,50228
986400,148432,50590
986300,149575,50990
986200,150710,51374
986100,151773,51705
986000,152886,52094
985900,153945,52458
985800,155048,52835
985700,156171,53220
985600,157285,53604
985500,158393,53976
985400,159476,54342
985300,160588,54732
985200,161673,55099
985100,162771,55476
985000,163862,55864
984900,164993,56243
984800,166075,56600
984700,167108,56947
984600,168222,57332
984500,169311,57720
984400,170388,58099
984300,171407,58457
984200,172479,58840
984100,173580,59222
984000,174673,59583
983900,175797,59965
983800,176847,60333
983700,177928,60717
983600,179045,61103
983500,180157,61485
983400,181219,61867
983300,182355,62250
983200,183447,62615
983100,184550,62971
983000,185671,63363
982900,186697,63712
982800,187805,64103
982700,188914,64486
982600,189989,64853
982500,191086,65224
982400,192181,65603
982300,193297,65973
982200,194373,66349
982100,195481,66748
982000,196565,67109
981900,197660,67474
981800,198760,67874
981700,199817,68238
981600,200878,68606
981500,201996,68997
981400,203090,69367
981300,204187,69750
981200,205249,70112
981100,206337,70478
981000,207472,70869
980900,208501,71208
980800,209549,71585
980700,210615,71983
980600,211697,72367
980500,212840,72760
980400,213927,73110
980300,215038,73500
980200,216087,73861
980100,217218,74262
980000,218324,74656
979900,219388,75016
979800,220495,75431
979700,221580,75800
979600,222639,76172
979500,223723,76536
979400,224803,76906
979300,225897,77305
979200,226966,77652
979100,228039,78041
979000,229149,78418
978900,230213,78789
978800,231306,79163
978700,232376,79540
978600,233451,79905
978500,234479,80287
978400,235552,80668
978300,236638,81068
978200,237734,81458
978100,238748,81817
978000,239829,82203
977900,240875,82576
977800,241917,82965
977700,242952,83331
977600,244046,83712
977500,245152,84099
977400,246250,84475
977300,247294,84829
977200,248356,85221
977100,249454,85613
977000,250575,86008
976900,251631,86377
976800,252695,86758
976700,253784,87139
976600,254880,87513
976500,256056,87912
976400,257144,88281
976300,258208,88641
976200,259245,89022
976100,260344,89383
976000,261447,89770
975900,262569,90161
975800,263667,90530
975700,264841,90917
975600,265940,91270
975500,267032,91642
975400,268143,92023
975300,269228,92388
975200,270299,92759
975100,271350,93142
975000,272432,93522
974900,273492,93900
974800,274582,94280
974700,275672,94648
974600,276779,95034
974500,277921,95421
974400,278944,95772
974300,280024,96157
974200,281158,96538
974100,282229,96891
974000,283351,97272
973900,284429,97635
973800,285487,98013
973700,286526,98400
973600,287580,98775
973500,288656,99151
973400,289780,99551
973300,290888,99931
973200,291922,100291
973100,292988,100665
973000,294057,101044
972900,295129,101427
972800,296207,101814
972700,297291,102191
972600,298312,102560
972500,299409,102962
972400,300481,103338
972300,301557,103714
972200,302636,104078
972100,303744,104478
972000,304849,104844
971900,305934,105236
971800,306995,105601
971700,308074,105990
971600,309163,106368
971500,310252,106750
971400,311317,107126
971300,312367,107492
971200,313403,107868
971100,314503,108248
971000,315656,108628
970900,316706,108995
970800,317805,109371
970700,318904,109751
970600,319996,110140
970500,321130,110528
970400,322227,110898
970300,323327,111291
970200,324437,111666
970100,325556,112050
970000,326657,112427
969900,327676,112784
969800,328763,113178
969700,329885,113575
969600,330966,113948
969500,332087,114349
969400,333189,114722
969300,334326,115094
969200,335382,115463
969100,336414,115820
969000,337472,116239
968900,338553,116612
968800,339613,116998
968700,340744,117401
968600,341826,117764
968500,342900,118146
968400,344013,118519
968300,345054,118887
968200,346158,119285
968100,347253,119641
968000,348389,120050
967900,349462,120413
967800,350580,120794
967700,351646,121171
967600,352774,121564
967500,353903,121936
967400,355023,122327
967300,356102,122706
967200,357214,123068
967100,358299,123439
967000,359416,123842
966900,360536,124207
966800,361649,124592
966700,362742,124963
966600,363818,125333
966500,364896,125755
966400,366002,126136
966300,367093,126520
966200,368200,126913
966100,369299,127275
966000,370386,127662
965900,371431,128012
965800,372526,128409
965700,373578,128771
965600,374713,129190
965500,375799,129545
965400,376950,129953
965300,378032,130315
965200,379142,130689
965100,380234,131067
965000,381386,131459
964900,382489,131832
964800,383604,132226
964700,384657,132607
964600,385775,132986
964500,386818,133349
964400,387948,133756
964300,389084,134123
964200,390193,134506
964100,391238,134877
964000,392384,135276
963900,393442,135645
963800,394494,136020
963700,395539,136399
963600,396559,136758
963500,397675,137147
963400,398764,137514
963300,399883,137895
963200,400886,138240
963100,401950,138623
963000,403086,139027
962900,404161,139390
962800,405258,139763
