Nb,Input,Output
0,0,0
100,4,0
200,7,0
300,10,0
400,13,0
500,16,0
600,19,0
700,22,0
800,26,0
900,29,0
1000,32,0
1100,35,0
1200,38,0
1300,41,0
1400,44,0
1500,47,0
1600,51,0
1700,54,0
1800,57,0
1900,60,0
2000,63,0
2100,66,0
2200,69,0
2300,72,0
2400,76,0
2500,79,0
2600,82,0
2700,85,0
2800,88,0
2900,91,0
3000,94,0
3100,97,0
3200,101,0
3300,104,0
3400,107,0
3500,110,0
3600,113,0
3700,116,0
3800,119,0
3900,122,0
4000,126,0
4100,129,0
4200,132,0
4300,135,0
4400,138,0
4500,141,0
4600,144,0
4700,147,0
4800,151,0
4900,154,0
5000,157,0
5100,160,0
5200,163,0
5300,166,0
5400,169,0
5500,172,0
5600,176,0
5700,179,0
5800,182,0
5900,185,0
6000,188,0
6100,191,0
6200,194,0
6300,197,0
6400,201,0
6500,204,0
6600,207,0
6700,210,0
6800,213,0
6900,216,0
7000,219,0
7100,222,0
7200,226,0
7300,229,0
7400,232,0
7500,235,0
7600,238,0
7700,241,0
7800,244,0
7900,247,0
8000,251,0
8100,254,0
8200,257,0
8300,260,0
8400,263,0
8500,266,0
8600,269,0
8700,272,0
8800,276,0
8900,279,0
9000,282,0
9100,285,0
9200,288,0
9300,291,0
9400,294,0
9500,297,0
9600,301,0
9700,304,0
9800,307,0
9900,310,0
10000,313,0
10100,316,0
10200,319,0
10300,322,0
10400,326,0
10500,329,0
10600,332,0
10700,335,0
10800,338,0
10900,341,0
11000,344,0
11100,347,0
11200,351,0
11300,354,0
11400,357,0
11500,360,0
11600,363,0
11700,366,0
11800,369,0
11900,372,0
12000,376,0
12100,379,0
12200,382,0
12300,385,0
12400,388,0
12500,391,0
12600,394,0
12700,397,0
12800,401,0
12900,404,0
13000,407,0
13100,410,0
13200,413,0
13300,416,0
13400,419,0
13500,422,0
13600,426,0
13700,429,0
13800,432,0
13900,435,0
14000,438,0
14100,441,0
14200,444,0
14300,447,0
14400,451,0
14500,454,0
14600,457,0
14700,460,0
14800,463,0
14900,466,0
15000,469,0
15100,472,0
15200,476,0
15300,479,0
15400,482,0
15500,485,0
15600,488,0
15700,491,0
15800,494,0
15900,497,0
16000,501,0
16100,504,0
16200,507,0
16300,510,0
16400,513,0
16500,516,0
16600,519,0
16700,522,0
16800,526,0
16900,529,0
17000,532,0
17100,535,0
17200,538,0
17300,541,0
17400,544,0
17500,547,0
17600,551,0
17700,554,0
17800,557,0
17900,560,0
18000,563,0
18100,566,0
18200,569,0
18300,572,0
18400,576,0
18500,579,0
18600,582,0
18700,585,0
18800,588,0
18900,591,0
19000,594,0
19100,597,0
19200,601,0
19300,604,0
19400,607,0
19500,610,0
19600,613,0
19700,616,0
19800,619,0
19900,622,0
20000,626,0
20100,629,0
20200,632,0
20300,635,0
20400,638,0
20500,641,0
20600,644,0
20700,647,0
20800,651,0
20900,654,0
21000,657,0
21100,660,0
21200,663,0
21300,666,0
21400,669,0
21500,672,0
21600,676,0
21700,679,0
21800,682,0
21900,685,0
22000,688,0
22100,691,0
22200,694,0
22300,697,0
22400,701,0
22500,704,0
22600,707,0
22700,710,0
22800,713,0
22900,716,0
23000,719,0
23100,722,0
23200,726,0
23300,729,0
23400,732,0
23500,735,0
23600,738,0
23700,741,0
23800,744,0
23900,747,0
24000,751,0
24100,754,0
24200,757,0
24300,760,0
24400,763,0
24500,766,0
24600,769,0
24700,772,0
24800,776,0
24900,779,0
25000,782,0
25100,785,0
25200,788,0
25300,791,0
25400,794,0
25500,797,0
25600,801,0
25700,804,0
25800,807,0
25900,810,0
26000,813,0
26100,816,0
26200,819,0
26300,822,0
26400,826,0
26500,829,0
26600,832,0
26700,835,0
26800,838,0
26900,841,0
27000,844,0
27100,847,0
27200,851,0
27300,854,0
27400,857,0
27500,860,0
27600,863,0
27700,866,0
27800,869,0
27900,872,0
28000,876,0
28100,879,0
28200,882,0
28300,885,0
28400,888,0
28500,891,0
28600,894,0
28700,897,0
28800,901,0
28900,904,0
29000,907,0
29100,910,0
29200,913,0
29300,916,0
29400,919,0
29500,922,0
29600,926,0
29700,929,0
29800,932,0
29900,935,0
30000,938,0
30100,941,0
30200,944,0
30300,947,0
30400,951,0
30500,954,0
30600,957,0
30700,960,0
30800,963,0
30900,966,0
31000,969,0
31100,972,0
31200,976,0
31300,979,0
31400,982,0
31500,985,0
31600,988,0
31700,991,0
31800,994,0
31900,997,0
32000,1001,0
32100,1004,0
32200,1007,0
32300,1010,0
32400,1013,0
32500,1016,0
32600,1019,0
32700,1022,0
32800,1026,2
32900,1029,5
33000,1033,9
33100,1041,17
33200,1048,24
33300,1056,32
33400,1062,38
33500,1068,44
33600,1080,56
33700,1091,67
33800,1101,77
33900,1113,89
34000,1130,106
34100,1148,124
34200,1161,137
34300,1172,147
34400,1189,164
34500,1208,183
34600,1229,204
34700,1250,225
34800,1267,240
34900,1286,258
35000,1311,280
35100,1329,298
35200,1350,318
35300,1370,337
35400,1403,370
35500,1428,392
35600,1456,417
35700,1479,440
35800,1505,463
35900,1538,495
36000,1571,528
36100,1601,554
36200,1623,575
36300,1653,603
36400,1679,628
36500,1699,648
36600,1734,680
36700,1761,706
36800,1796,738
36900,1833,771
37000,1861,797
37100,1898,830
